PRODUCTO;VARIEDAD;MARCA;ORIGEN;FORMATO;CATEGORIA;CALIBRE
PLÁTANO;Cavendish;Platania;España;16,00;Plus;16+
PLÁTANO;Cavendish;Platania;España;16,00;Roja;16+
PLÁTANO;Cavendish;Platania;España;16,00;Primera;14+
PLÁTANO;Cavendish;Platania;España;16,00;Segunda;14+
PLÁTANO;Cavendish;Platania;España;9,00;Plus;16+
PLÁTANO;Cavendish;Platania;España;9,00;Roja;14+
PLÁTANO;Cavendish;Doramas;España;17,00;Super/Azul;16+
PLÁTANO;Cavendish;Doramas;España;17,00;Extra/Blanca;16+
PLÁTANO;Cavendish;Doramas;España;9,00;Negra;16+
PLÁTANO;Cavendish;Coplaca BIO;España;17,00;BIO;16+
PLÁTANO;Cavendish;Cerca Vieja;España;17,00;Súper;16+
PLÁTANO;Cavendish;Cerca Vieja;España;9,00;Súper;16+
PLÁTANO;Cavendish;Lairaga/Coplaca;España;17,00;Nature;16+
PLÁTANO;Cavendish;Lairaga Súper;España;17,00;Súper;16+
PLÁTANO;Cavendish;Lairaga;España;17,00;Primera;14+
BANANA;Cavendish;Del Monte;Costa Rica;18,00;Premium;P20
BANANA;Cavendish;Chiquita;Costa Rica;18,00;Premium;P20
BANANA;Cavendish;Amorita;Ecuador;18,00;Premium;P20
BANANA;Cavendish;UTC;Costa Rica;18,00;Standard;P19
BANANA;Cavendish;Rosy;Costa Rica;18,00;Standard;P19
BANANA;Cavendish;Amigo/ Savana;Costa Rica;18,00;Standard;P19
BANANA;Cavendish;Comoe;Costa Marfil;18,00;Standard;P19
BANANA;Cavendish;Small;Costa Rica;18,00;Premium;P14
BANANA;Cavendish;Savana;Africa;18,00;Standard;P19
MANZANA;Golden  Blanca (amarilla);Val Venosta;Italia;50x30;Cat 1;15
MANZANA;Golden  Blanca (amarilla);Val Venosta;Italia;50x30;Cat 1;16
MANZANA;Golden  Blanca (amarilla);Val Venosta;Italia;50x30;Cat 1;18
MANZANA;Pinova;Val Venosta;Italia;50x30;Cat 1;16
MANZANA;Granny Smith ;VOG;Italia;50x30;Cat 1;16
MANZANA;Fuji;VOG;Italia;50x30;Cat 1;16
MANZANA;Pink Lady ;CLUB;Italia;50x30;Cat 1;16
MANZANA;Cosmic Crisp;CLUB;Italia;50x30;Cat 1;16
MANZANA;Ambrosia;CLUB;Italia;50x30;Cat 1;16
MANZANA;Ambrosia;CLUB;Italia;50x30;Cat 1;18
MANZANA;Royal Gala;Genérica;Nueva Zelanda;Bushel;Cat 1;100
LIMA;Tahiti;Genérica;Colombia;4,50;Cat 1;48
UVA;Vittoria;Genérica;Italia;5,00;Cat 1;XL
UVA;Arra 15 sweeties;Genérica;Italia;5,00;Cat 1;XL
UVA;Maula (roja);Genérica;Italia;5,00;Cat 1;XL
UVA;Parlieri (negra);Genérica;Italia;5,00;Cat 1;XL
UVA;Sugraone (superior seedless);Orchidea;Egipto;6,00;Cat 1;XL
UVA;Superior seedless;Moyca;España;5,00;Cat 1;XL
UVA;Rally seedless;Moyca;España;5,00;Cat 1;XL
KIWI;Hayward;Terraexport;Chile;10,00;Cat 1;25
KIWI;Hayward;Terraexport;Chile;10,00;Cat 1;26
KIWI;Hayward;Terraexport;Chile;10,00;Cat 1;27
KIWI;Hayward;Terraexport;Chile;10,00;Cat 1;30
KIWI;Hayward;Terraexport;Chile;10,00;Cat 1;33
KIWI;Hayward;Fortaleza;Chile;10,00;Cat 1;25
KIWI;Hayward;Fortaleza;Chile;10,00;Cat 1;27
KIWI;Hayward;Fortaleza;Chile;10,00;Cat 1;30
KIWI;Hayward;Rucaray;Chile;10,00;Cat 2;M
KIWI;Hayward;Rucaray;Chile;10,00;Cat 2;L
KIWI;Hayward;Rucaray;Chile;10,00;Cat 2;XL
KIWI;Hayward;Zespri;Nueva Zelanda;10,00;Cat 1;22
KIWI;Hayward;Zespri;Nueva Zelanda;10,00;Cat 1;25
KIWI;Hayward;Zespri;Nueva Zelanda;10,00;Cat 1;27
KIWI;Hayward;Zespri;Nueva Zelanda;10,00;Cat 1;30
KIWI;Hayward;Zespri;Nueva Zelanda;3,50;Cat 1;30
KIWI;SunGold;Zespri;Sungold;5,80;Cat 1;22
KIWI;SunGold;Zespri;Sungold;5,80;Cat 1;25
KIWI;SunGold;Zespri;Sungold;5,80;Cat 1;27
KIWI;SunGold;Zespri;Sungold;5,80;Cat 1;33
PIÑA;Del Monte;Del Monte;Costa Rica;12,00;Cat 1;5
PIÑA;Del Monte;Del Monte;Costa Rica;12,00;Cat 1;6
PIÑA;Del Monte;Del Monte;Costa Rica;12,00;Cat 1;Super6
